head,tail,relation,score,prediction
290,0,5305,0.709293243275961,0.5028572678565979
290,0,3317,0.709293243275961,0.5028572678565979
290,0,1728,0.709293243275961,0.5028572678565979
290,3,290,0.5258777008945054,0.5028572678565979
3121,0,2040,0.709293243275961,0.5028572678565979
3121,0,5904,0.709293243275961,0.5028572678565979
3121,0,2511,0.709293243275961,0.5028572678565979
5343,0,400,0.1129104967530668,0.5028572678565979
5167,0,32,0.2570018146047729,0.5028572678565979
5167,0,5945,0.2495892096378169,0.5028572678565979
5167,0,1441,0.297583108925823,0.5028572678565979
5167,0,567,0.709293243275961,0.5028572678565979
5167,0,3464,0.1909181971085573,0.5028572678565979
5167,0,3619,0.7244621835543195,0.5028572678565979
5167,0,615,0.709293243275961,0.5028572678565979
5167,0,1209,0.709293243275961,0.5028572678565979
5167,0,5,0.709293243275961,0.5028572678565979
195,2,14259,0.8927087856574166,0.5028572678565979
195,0,2291,0.709293243275961,0.5028572678565979
195,0,2892,0.3968101207186777,0.5028572678565979
195,0,954,0.709293243275961,0.5028572678565979
195,0,14133,0.1078216342752765,0.5028572678565979
797,0,1523,0.5793623256510436,0.5028572678565979
797,0,3057,0.2450398822245476,0.5028572678565979
797,0,1471,0.709293243275961,0.5028572678565979
797,0,6717,0.3657509538112904,0.5028572678565979
797,9,4721,0.709293243275961,0.5028572678565979
797,9,10897,0.8927087856574166,0.5028572678565979
797,3,6211,0.709293243275961,0.5028572678565979
2258,11,6670,0.709293243275961,0.5028572678565979
2258,11,1813,0.709293243275961,0.5028572678565979
2258,2,3994,0.5258777008945054,0.5028572678565979
2258,0,11144,0.1734648815989448,0.5028572678565979
2258,0,6717,0.1203648683831062,0.5028572678565979
2258,0,1813,0.709293243275961,0.5028572678565979
2258,0,3489,0.709293243275961,0.5028572678565979
2258,3,9096,0.709293243275961,0.5028572678565979
2258,3,2298,0.709293243275961,0.5028572678565979
2258,3,5393,0.709293243275961,0.5028572678565979
2258,3,2895,0.709293243275961,0.5028572678565979
2258,3,2258,0.5258777008945054,0.5028572678565979
545,3,3708,0.8927087856574166,0.5028572678565979
545,0,868,0.709293243275961,0.5028572678565979
545,0,7894,0.1964891964219784,0.5028572678565979
545,0,5627,0.1052400265455489,0.5028572678565979
545,0,11681,0.1871379514832813,0.5028572678565979
545,0,4686,0.709293243275961,0.5028572678565979
545,0,14245,0.4027758769545109,0.5028572678565979
545,0,5803,0.1052400265455489,0.5028572678565979
545,0,4887,0.709293243275961,0.5028572678565979
545,2,2826,0.8927087856574166,0.5028572678565979
545,2,2491,0.8927087856574166,0.5028572678565979
943,0,989,0.709293243275961,0.5028572678565979
943,0,5336,0.709293243275961,0.5028572678565979
5837,8,12534,0.709293243275961,0.5028572678565979
5837,8,1643,1.0,0.5028572678565979
5837,0,1547,0.3862593798777853,0.5028572678565979
5837,0,1317,0.1852273822198877,0.5028572678565979
343,0,13515,0.709293243275961,0.5028572678565979
343,0,7023,1.0,0.5028572678565979
343,0,12102,0.258459739468707,0.5028572678565979
343,0,10918,0.7380975005499087,0.5028572678565979
343,0,1081,0.1154186927210763,0.5028572678565979
343,0,1160,1.0,0.5028572678565979
343,0,10650,0.4183217414638891,0.5028572678565979
343,0,9524,0.709293243275961,0.5028572678565979
343,0,7735,0.3238274805585709,0.5028572678565979
343,0,8609,0.1203648683831062,0.5028572678565979
343,0,2257,0.709293243275961,0.5028572678565979
343,0,8092,0.709293243275961,0.5028572678565979
343,0,1025,0.709293243275961,0.5028572678565979
343,0,567,0.4979979710666225,0.5028572678565979
343,0,3901,0.718907132931101,0.5028572678565979
343,0,6091,0.8276403818692808,0.5028572678565979
343,16,14794,0.709293243275961,0.5028572678565979
343,11,645,0.1346717414289357,0.5028572678565979
343,4,1733,1.0,0.5028572678565979
2053,0,3723,0.709293243275961,0.5028572678565979
2053,0,6004,0.709293243275961,0.5028572678565979
2053,0,3865,0.1983204334427104,0.5028572678565979
2053,2,1395,0.8927087856574166,0.5028572678565979
1131,0,3571,0.5167243655248765,0.5028572678565979
1131,0,2707,0.709293243275961,0.5028572678565979
1131,0,4873,0.709293243275961,0.5028572678565979
1131,0,1731,0.1154186927210763,0.5028572678565979
8679,8,1243,0.709293243275961,0.5028572678565979
8679,4,1733,0.709293243275961,0.5028572678565979
2840,0,1464,0.2450398822245476,0.5028572678565979
2840,0,496,0.1026329838474339,0.5028572678565979
2840,0,2757,0.709293243275961,0.5028572678565979
2840,0,1284,0.709293243275961,0.5028572678565979
2840,0,10152,0.5780620149586884,0.5028572678565979
2840,0,2163,0.709293243275961,0.5028572678565979
2840,0,2676,0.709293243275961,0.5028572678565979
2840,0,21,0.709293243275961,0.5028572678565979
2840,2,979,0.8927087856574166,0.5028572678565979
3653,0,8935,0.709293243275961,0.5028572678565979
3653,0,12359,0.709293243275961,0.5028572678565979
3653,17,6926,0.5258777008945054,0.5028572678565979
1190,0,494,0.6107213082923498,0.5028572678565979
1190,0,815,0.7638566004413178,0.5028572678565979
1190,0,3141,0.6482545522900103,0.5028572678565979
1190,0,8324,0.1052400265455489,0.5028572678565979
1190,0,14866,0.3260891412790238,0.5028572678565979
1190,0,546,1.0,0.5028572678565979
1190,0,2498,0.7291676338663392,0.5028572678565979
1190,0,3843,0.709293243275961,0.5028572678565979
1190,0,3415,0.3145824286851669,0.5028572678565979
1190,0,14739,0.3338561091573668,0.5028572678565979
1190,0,701,0.709293243275961,0.5028572678565979
1190,0,2364,0.238849829353536,0.5028572678565979
1190,0,9001,0.3608596372130862,0.5028572678565979
1190,4,13160,0.709293243275961,0.5028572678565979
1190,24,797,0.709293243275961,0.5028572678565979
4610,9,7806,0.8927087856574166,0.5028572678565979
4610,3,4610,0.5258777008945054,0.5028572678565979
4610,0,2179,0.709293243275961,0.5028572678565979
4610,2,8376,0.8927087856574166,0.5028572678565979
19,2,5355,0.8927087856574166,0.5028572678565979
1986,3,6658,0.8927087856574166,0.5028572678565979
1986,2,203,0.8927087856574166,0.5028572678565979
1986,0,287,0.709293243275961,0.5028572678565979
1986,0,2477,0.709293243275961,0.5028572678565979
1986,0,365,0.709293243275961,0.5028572678565979
4170,2,11006,0.8927087856574166,0.5028572678565979
8617,2,10639,0.8927087856574166,0.5028572678565979
8617,0,6807,0.709293243275961,0.5028572678565979
5687,0,1801,0.1154186927210763,0.5028572678565979
5687,0,843,0.1,0.5028572678565979
5687,0,4385,0.3013188795869767,0.5028572678565979
7334,0,8503,0.709293243275961,0.5028572678565979
5941,0,11502,0.709293243275961,0.5028572678565979
5941,1,4117,0.709293243275961,0.5028572678565979
5941,11,6775,0.4167276842732437,0.5028572678565979
